url,headline,body,author,time,date,source
https://inshorts.com/en/news/will-bring-indian-students-to-isro-dont-need-to-go-to-nasa-sivan-1547206765142,"Will bring Indian students to ISRO, don't need to go to NASA: Sivan","ISRO Chairman K Sivan has said that the space agency will set up six incubation and research centres across the country. ""We will bring the Indian students to ISRO. Why do the Indian students need to go to NASA?"" he added. The ISRO chief further said that Indian astronauts could be trained at Institute of Aerospace Medicine (IAM) in Bengaluru.",Gaurav Shroff,05:09 pm,11-Jan-2019,ANI
https://inshorts.com/en/news/spacex-to-lay-off-over-600-workers-to-become-a-leaner-company-1547287501317,SpaceX to lay off over 600 workers to become a 'leaner company',"Billionaire Elon Musk-led SpaceX has announced it would be laying off around 10% of its 6,000-plus workforce. ""To continue delivering for our customers and to succeed in developing interplanetary spacecraft and a global space-based Internet, SpaceX must become a leaner company. Either of these developments, even when attempted separately, have bankrupted other organisations,"" its statement read.",Gaurav Shroff,03:35 pm,12-Jan-2019,TechCrunch
https://inshorts.com/en/news/govt-to-infuse-₹6000-crore-in-exportimport-bank-of-india-1547656802874,"Govt to infuse ₹6,000 crore in Export-Import Bank of India","The government on Wednesday decided to recapitalise state-owned Export-Import Bank of India (Exim Bank) to the tune of ₹6,000 crore. It also approved an increase in the authorised capital of the bank from ₹10,000 crore to ₹20,000 crore. Exim Bank is the principal export credit agency of the country set up for financing, facilitating and promoting India's international trade.",Shruti Maria Mahendar,10:10 pm,16-Jan-2019,The Quint
https://inshorts.com/en/news/ms-dhoni-virat-kohli-ride-segway-on-ground-after-odi-victory-1548266261816,"MS Dhoni, Virat Kohli ride Segway on ground after ODI victory","Former India captain MS Dhoni and current captain Virat Kohli were seen riding a Segway on the ground following India\'s victory against New Zealand in the first ODI at Napier on Wednesday. The BCCI shared a video of the duo riding the Segway, captioned, ""Post-game shenanigans courtesy...MS Dhoni & Virat Kohli. This looks fun.""",Anmol Sharma,11:27 pm,23-Jan-2019,[]
https://inshorts.com/en/news/white-house-considering-indra-nooyi-to-head-world-bank-reports-1547626217391,White House considering Indra Nooyi to head World Bank: Reports,"The White House is considering former PepsiCo Chief Executive Officer (CEO) Indra Nooyi for the position of World Bank President, the New York Times reported. Nooyi stepped down last October after leading PepsiCo for 12 years. Ivanka Trump, who reportedly floated her name as a potential successor, had tweeted that she views Nooyi as a ""mentor + inspiration"".",Krishna Veera Vanamali,01:40 pm,16-Jan-2019,Livemint
https://inshorts.com/en/news/we-compete-with-and-lose-to-fortnite-more-than-hbo-netflix-1547808071551,We compete with and lose to Fortnite more than HBO: Netflix,"Streaming giant Netflix said in a letter to shareholders that it competes with and loses to battle royale game Fortnite more than HBO. ""There are thousands of competitors in this highly fragmented market vying to entertain consumers,"" it said. ""When YouTube went down globally for a few minutes in October, our viewing and signups spiked for that time,"" added Netflix.",Krishna Veera Vanamali,04:11 pm,18-Jan-2019,Livemint
https://inshorts.com/en/news/economy-wouldve-collapsed-note-ban-saved-it-rbis-gurumurthy-1542368985520,"Economy would've collapsed, note ban saved it: RBI's Gurumurthy","Calling demonetisation a corrective measure, RBI board member S Gurumurthy on Thursday said the Indian economy would've collapsed without it. He said that high denomination currency notes were being funnelled to real estate and gold. Gurumurthy added that asset prices would've gone the same way as it happened in the US in 2008 due to sub-prime lending.",Krishna Veera Vanamali,05:19 pm,16-Nov-2018,Business Today
https://inshorts.com/en/news/mercedesbenz-india-launches-the-new-vclass-1548396012188,Mercedes-Benz India launches the new V-Class,"Celebrating its 25th year, Mercedes-Benz India is set to redefine India's luxury space in the automotive segment by launching the new V-Class. The V-Class is powered by a 2.1-litre BS VI diesel engine that generates 120kW power, 380Nm torque and can go from 0-100km/h in 10.9 seconds. It features LED headlamps, multi-functional steering wheel and 17-inch alloy wheels.",Roshan Gupta,11:30 am,25-Jan-2019,mercedes-benz.co.in
https://inshorts.com/en/news/jaguar-tests-tech-that-projects-selfdriving-cars-next-move-1548331846936,Jaguar tests tech that projects self-driving car's next move,"Jaguar Land Rover tested a system that projects the direction of travel onto the road ahead of self-driving vehicles. The system projects a series of bars to depict vehicle\'s next move like stopping and turning left or right. ""[T]rials are about understanding how much information a self-driving vehicle should share with a pedestrian to gain their trust,"" the automaker said.",Arundhati Rawat,05:40 pm,24-Jan-2019,Engadget
https://inshorts.com/en/news/man-given-14yr-jail-in-ganja-case-attempts-suicide-in-court-1542706664771,Man given 14-yr jail in ganja case attempts suicide in court,"A man on Monday tried to commit suicide by slitting his throat in a Visakhapatnam court after he was convicted and sentenced to 14 years in jail in a ganja smuggling case. In 2016, the man and seven others were caught with over 290 kg of ganja. He was out on bail and might have been expecting conviction, police said.",Ayushi Ahluwalia,03:07 pm,20-Nov-2018,The New Indian Express
https://inshorts.com/en/news/govt-approves-₹676crore-housing-complex-project-for-mps-1542542772813,Govt approves ₹676-crore housing complex project for MPs,"The Environment Ministry has given the final clearance for a project to build duplex flats for Members of Parliament (MP) at a cost of ₹676.5 crore in New Delhi. The building complex will have 264 new flats along with servant quarters and basement car parking.  It will be constructed over an area of 19,91,37 square metre.",Shruti Maria Mahendar,05:36 pm,18-Nov-2018,Livemint
https://inshorts.com/en/news/big-new-wagonr-launched-in-india-promises-performance-comfort-1548268239751,"Big New WagonR launched in India, promises performance & comfort","Maruti Suzuki has recently launched the Big New WagonR. It guarantees strong performance with an advanced 1.2 L K-series engine and also offers comfort with an enhanced cabin, boot and utility space. With an unmatched performance coupled with great fuel efficiency, customers can take on every journey in full stride with the Big New WagonR.",Roshan Gupta,12:00 am,24-Jan-2019,marutisuzuki.com
